NAME,ACTIVE,INACTIVE,PREREG,TOTAL
Adams,287926,33992,5469,327387
Alamosa,9569,1375,164,11108
Arapahoe,401039,54766,8015,463820
Archuleta,10696,1691,136,12523
Baca,2582,223,50,2855
Bent,2730,414,48,3192
Boulder,219797,29520,3178,252495
Broomfield,50905,5834,819,57558
Chaffee,15264,2058,124,17446
Cheyenne,1240,111,40,1391
Clear Creek,7284,1057,75,8416
Conejos,5100,518,89,5707
Costilla,2752,311,41,3104
Crowley,2103,270,41,2414
Custer,4216,456,23,4695
Delta,22103,1983,345,24431
Denver,442380,70809,5296,518485
Dolores,1621,165,23,1809
Douglas,260232,22501,6877,289610
Eagle,33409,4193,680,38282
El Paso,454260,66029,7886,528175
Elbert,21306,1978,491,23775
Fremont,29666,3279,289,33234
Garfield,35868,4803,693,41364
Gilpin,4719,1084,45,5848
Grand,11351,1739,151,13241
Gunnison,11903,2378,154,14435
Hinsdale,684,28,8,720
Huerfano,5125,704,64,5893
Jackson,1002,85,10,1097
Jefferson,416200,38432,5803,460435
Kiowa,1011,69,19,1099
Kit Carson,4489,552,75,5116
La Plata,40891,7495,568,48954
Lake,4655,1199,40,5894
Larimer,246503,32423,3442,282368
Las Animas,9929,1883,141,11953
Lincoln,2998,460,59,3517
Logan,11972,1145,145,13262
Mesa,104164,14382,1669,120215
Mineral,813,156,4,973
Moffat,8338,1249,144,9731
Montezuma,18482,2806,237,21525
Montrose,28771,3027,506,32304
Morgan,16926,1445,293,18664
Otero,11784,1435,259,13478
Ouray,4393,451,44,4888
Park,14118,2178,158,16454
Phillips,2739,262,43,3044
Pitkin,13353,1578,151,15082
Prowers,6770,896,148,7814
Pueblo,108380,10902,1852,121134
Rio Blanco,4104,659,95,4858
Rio Grande,7540,1159,126,8825
Routt,18955,2429,255,21639
Saguache,4243,587,55,4885
San Juan,690,96,4,790
San Miguel,5864,766,78,6708
Sedgwick,1632,228,17,1877
Summit,20676,4355,251,25282
Teller,18381,2961,213,21555
Washington,3256,272,41,3569
Weld,201791,22107,3917,227815
Yuma,5686,427,136,6249